id,name,price,volume,year,link,mileage
0,Ford Focus 1.6 TDCI  N A V I,6.600 €,Dizel | 1598 cm3,2013. Hečbek,https://www.polovniautomobili.com/auto-oglasi/18781381/ford-focus-16-tdci-n-a-v-i?attp=p0_pv0_pc0_pl1_plv0,165490
1,Ford Focus 1.0 B E N Z I N,5.999 € + registracija,Benzin | 998 cm3,2013. Hečbek,https://www.polovniautomobili.com/auto-oglasi/19803491/ford-focus-10-b-e-n-z-i-n?attp=p0_pv0_pc0_pl1_plv0,167253
2,Ford Focus 1.6 tdci,6.350 €,Dizel | 1560 cm3,2013. Hečbek,https://www.polovniautomobili.com/auto-oglasi/19802216/ford-focus-16-tdci?attp=p0_pv0_pc0_pl1_plv0,180000
3,Renault Megane 1.5 dCi,7.350 €,Dizel | 1461 cm3,2015. Hečbek,https://www.polovniautomobili.com/auto-oglasi/19861052/renault-megane-15-dci?attp=p0_pv0_pc0_pl1_plv0,120427
4,Opel Astra J 1.4B,6.800 €,Benzin | 1398 cm3,2013. Hečbek,https://www.polovniautomobili.com/auto-oglasi/18444713/opel-astra-j-14b?attp=p1_pv0_pc1_pl1_plv0,150795
5,Opel Astra J 1.7 cdti Ecoflex,6.790 €,Dizel | 1698 cm3,2013. Hečbek,https://www.polovniautomobili.com/auto-oglasi/19235923/opel-astra-j-17-cdti-ecoflex?attp=p0_pv0_pc0_pl1_plv0,173000
6,Citroen C4 1.6 e HDI,6.590 €,Dizel | 1560 cm3,2013. Hečbek,https://www.polovniautomobili.com/auto-oglasi/19770502/citroen-c4-16-e-hdi?attp=p1_pv0_pc1_pl1_plv0,171700
7,Citroen C4 1.6 HDI,6.590 € + registracija,Dizel | 1560 cm3,2013. Hečbek,https://www.polovniautomobili.com/auto-oglasi/19836241/citroen-c4-16-hdi?attp=p1_pv0_pc1_pl1_plv0,166507
8,Citroen C4 1.6HDI//ATTRACTION,8.499 €,Dizel | 1560 cm3,2015. Hečbek,https://www.polovniautomobili.com/auto-oglasi/18276341/citroen-c4-16hdiattraction?attp=p1_pv0_pc1_pl1_plv0,147381
9,Citroen C4,7.000 €,Benzin | 1598 cm3,2013. Hečbek,https://www.polovniautomobili.com/auto-oglasi/19763789/citroen-c4?attp=p0_pv0_pc0_pl1_plv0,61000
